,trial,function,noise,init_gamma,gamma,scorer,value,mi
259,1,line,0.0011352775264921833,0.5,9.210349846633582,ctka,0.9999739175913605,5.180124931764317
260,1,line,0.0011352775264921833,0.5,7.632089835876167,ctka,0.9999766013153679,5.180124931764317
261,1,line,0.0011352775264921833,0.5,6.324276084276483,ctka,0.9999788647820644,5.180124931764317
262,1,line,0.0011352775264921833,0.5,5.240565670773429,ctka,0.9999807566970889,5.180124931764317
263,1,line,0.0011352775264921833,0.5,4.342556868756765,ctka,0.9999823099949308,5.180124931764317
264,1,line,0.0011352775264921833,0.5,3.5984283650057605,ctka,0.9999835493719189,5.180124931764317
265,1,line,0.0011352775264921833,0.5,2.981811658297323,ctka,0.9999844988078653,5.180124931764317
266,1,line,0.0011352775264921833,0.5,2.470856680661918,ctka,0.9999851867717088,5.180124931764317
267,1,line,0.0011352775264921833,0.5,2.047457531190213,ctka,0.9999856478578668,5.180124931764317
268,1,line,0.0011352775264921833,0.5,1.696610885947665,ctka,0.9999859212145302,5.180124931764317
269,1,line,0.0011352775264921833,0.5,1.4058843489871153,ctka,0.99998604723669,5.180124931764317
270,1,line,0.0011352775264921833,0.5,1.1649759052576867,ctka,0.9999860641254381,5.180124931764317
271,1,line,0.0011352775264921833,0.5,0.9653488644416254,ctka,0.9999860053529485,5.180124931764317
272,1,line,0.0011352775264921833,0.5,0.7999293598030295,ctka,0.9999858983695815,5.180124931764317
273,1,line,0.0011352775264921833,0.5,0.6628556827950548,ctka,0.9999857644000852,5.180124931764317
274,1,line,0.0011352775264921833,0.5,0.5492705709937792,ctka,0.999985618972359,5.180124931764317
275,1,line,0.0011352775264921833,0.5,0.4551490889957608,ctka,0.9999854728205186,5.180124931764317
276,1,line,0.0011352775264921833,0.5,0.3771560031677311,ctka,0.9999853328927156,5.180124931764317
277,1,line,0.0011352775264921833,0.5,0.3125275962636988,ctka,0.9999852032988483,5.180124931764317
278,1,line,0.0011352775264921833,0.5,0.25897373396156065,ctka,0.9999850861183284,5.180124931764317
279,1,line,0.0011352775264921833,0.5,0.2145967130064389,ctka,0.9999849820439202,5.180124931764317
280,1,line,0.0011352775264921833,0.5,0.17782401531115663,ctka,0.9999848908700655,5.180124931764317
281,1,line,0.0011352775264921833,0.5,0.14735258512759064,ctka,0.999984811848019,5.180124931764317
282,1,line,0.0011352775264921833,0.5,0.12210265472743262,ctka,0.9999847439347435,5.180124931764317
283,1,line,0.0011352775264921833,0.5,0.1011794823862579,ctka,0.9999846859608487,5.180124931764317
284,1,line,0.0011352775264921833,0.5,0.08384164684055041,ctka,0.9999846367391614,5.180124931764317
285,1,line,0.0011352775264921833,0.5,0.06947477471865694,ctka,0.999984595131106,5.180124931764317
286,1,line,0.0011352775264921833,0.5,0.05756976996632241,ctka,0.9999845600839743,5.180124931764317
