,dataset,dimensions,dof,gamma_init,gamma_method,hsic_value,mi_value,samples,scorer,trial
180,tstudent,3.0,1.0,1.6295908621720976,silverman,0.8057747146797528,0.4360886814416727,50.0,ctka,2.0
181,tstudent,3.0,2.0,1.6295908621720976,silverman,0.7404252787757221,0.2321226835035884,50.0,ctka,2.0
182,tstudent,3.0,3.0,1.6295908621720976,silverman,0.6885921689244657,0.1543445901365709,50.0,ctka,2.0
183,tstudent,3.0,4.0,1.6295908621720976,silverman,0.657242688067993,0.11506688163146149,50.0,ctka,2.0
184,tstudent,3.0,5.0,1.6295908621720976,silverman,0.6373427964119486,0.09217169685490756,50.0,ctka,2.0
185,tstudent,3.0,6.0,1.6295908621720976,silverman,0.6037865245752441,0.05141663392307747,50.0,ctka,2.0
186,tstudent,3.0,7.0,1.6295908621720976,silverman,0.60074438270945,0.04096401658864166,50.0,ctka,2.0
187,tstudent,3.0,8.0,1.6295908621720976,silverman,0.596522552655832,0.036764706627651134,50.0,ctka,2.0
188,tstudent,3.0,9.0,1.6295908621720976,silverman,0.5922691311808091,0.033463637456268576,50.0,ctka,2.0
189,tstudent,3.0,1.0,1.6295908621720976,silverman,0.01910193835113871,0.4192358911175424,50.0,hsic,3.0
190,tstudent,3.0,2.0,1.6295908621720976,silverman,0.018911312147414167,0.2152698931794581,50.0,hsic,3.0
191,tstudent,3.0,3.0,1.6295908621720976,silverman,0.01872681860699319,0.13749179981243936,50.0,hsic,3.0
192,tstudent,3.0,4.0,1.6295908621720976,silverman,0.018733690823256245,0.09821409130732997,50.0,hsic,3.0
193,tstudent,3.0,5.0,1.6295908621720976,silverman,0.018616364367651683,0.07531890653077727,50.0,hsic,3.0
194,tstudent,3.0,6.0,1.6295908621720976,silverman,0.01809835904088968,0.03456384359894719,50.0,hsic,3.0
195,tstudent,3.0,7.0,1.6295908621720976,silverman,0.01800705214820766,0.024111226264511374,50.0,hsic,3.0
196,tstudent,3.0,8.0,1.6295908621720976,silverman,0.017964708397492285,0.019911916303520846,50.0,hsic,3.0
197,tstudent,3.0,9.0,1.6295908621720976,silverman,0.018048753204487806,0.01661084713213952,50.0,hsic,3.0
198,tstudent,3.0,1.0,1.6295908621720976,silverman,0.8007954169972191,0.4192358911175424,50.0,tka,3.0
199,tstudent,3.0,2.0,1.6295908621720976,silverman,0.6839271911219421,0.2152698931794581,50.0,tka,3.0
200,tstudent,3.0,3.0,1.6295908621720976,silverman,0.658496903940774,0.13749179981243936,50.0,tka,3.0
201,tstudent,3.0,4.0,1.6295908621720976,silverman,0.6571176223540323,0.09821409130732997,50.0,tka,3.0
202,tstudent,3.0,5.0,1.6295908621720976,silverman,0.6461069376549261,0.07531890653077727,50.0,tka,3.0
203,tstudent,3.0,6.0,1.6295908621720976,silverman,0.6094903114705336,0.03456384359894719,50.0,tka,3.0
204,tstudent,3.0,7.0,1.6295908621720976,silverman,0.5992260942973738,0.024111226264511374,50.0,tka,3.0
205,tstudent,3.0,8.0,1.6295908621720976,silverman,0.5949330607868534,0.019911916303520846,50.0,tka,3.0
206,tstudent,3.0,9.0,1.6295908621720976,silverman,0.5981586262883851,0.01661084713213952,50.0,tka,3.0
207,tstudent,3.0,1.0,1.6295908621720976,silverman,0.8059277339015887,0.4192358911175424,50.0,ctka,3.0
208,tstudent,3.0,2.0,1.6295908621720976,silverman,0.6803429358641316,0.2152698931794581,50.0,ctka,3.0
209,tstudent,3.0,3.0,1.6295908621720976,silverman,0.6569141453002241,0.13749179981243936,50.0,ctka,3.0
210,tstudent,3.0,4.0,1.6295908621720976,silverman,0.648644787150087,0.09821409130732997,50.0,ctka,3.0
211,tstudent,3.0,5.0,1.6295908621720976,silverman,0.6365585068681884,0.07531890653077727,50.0,ctka,3.0
212,tstudent,3.0,6.0,1.6295908621720976,silverman,0.5931596639633078,0.03456384359894719,50.0,ctka,3.0
213,tstudent,3.0,7.0,1.6295908621720976,silverman,0.5835856075239925,0.024111226264511374,50.0,ctka,3.0
214,tstudent,3.0,8.0,1.6295908621720976,silverman,0.5800269211939529,0.019911916303520846,50.0,ctka,3.0
215,tstudent,3.0,9.0,1.6295908621720976,silverman,0.5835954227132858,0.01661084713213952,50.0,ctka,3.0
216,tstudent,3.0,1.0,1.6295908621720976,silverman,0.018625245466895587,0.43853718220363175,50.0,hsic,4.0
217,tstudent,3.0,2.0,1.6295908621720976,silverman,0.018715156151235323,0.23457118426554624,50.0,hsic,4.0
218,tstudent,3.0,3.0,1.6295908621720976,silverman,0.0182097440744889,0.15679309089852875,50.0,hsic,4.0
219,tstudent,3.0,4.0,1.6295908621720976,silverman,0.018011974028193628,0.11751538239341934,50.0,hsic,4.0
220,tstudent,3.0,5.0,1.6295908621720976,silverman,0.017953012074589134,0.09462019761686542,50.0,hsic,4.0
221,tstudent,3.0,6.0,1.6295908621720976,silverman,0.017811042198899885,0.053865134685035336,50.0,hsic,4.0
222,tstudent,3.0,7.0,1.6295908621720976,silverman,0.017771891587780433,0.04341251735059952,50.0,hsic,4.0
223,tstudent,3.0,8.0,1.6295908621720976,silverman,0.017755403499660354,0.03921320738960899,50.0,hsic,4.0
224,tstudent,3.0,9.0,1.6295908621720976,silverman,0.0177409895774707,0.03591213821822643,50.0,hsic,4.0
225,tstudent,3.0,1.0,1.6295908621720976,silverman,0.6625726738222848,0.43853718220363175,50.0,tka,4.0
226,tstudent,3.0,2.0,1.6295908621720976,silverman,0.7282011542516255,0.23457118426554624,50.0,tka,4.0
227,tstudent,3.0,3.0,1.6295908621720976,silverman,0.686645695492697,0.15679309089852875,50.0,tka,4.0
228,tstudent,3.0,4.0,1.6295908621720976,silverman,0.6688255387095241,0.11751538239341934,50.0,tka,4.0
229,tstudent,3.0,5.0,1.6295908621720976,silverman,0.6623917405876658,0.09462019761686542,50.0,tka,4.0
230,tstudent,3.0,6.0,1.6295908621720976,silverman,0.6440942858578633,0.053865134685035336,50.0,tka,4.0
231,tstudent,3.0,7.0,1.6295908621720976,silverman,0.6357353360275946,0.04341251735059952,50.0,tka,4.0
232,tstudent,3.0,8.0,1.6295908621720976,silverman,0.6307498579197508,0.03921320738960899,50.0,tka,4.0
233,tstudent,3.0,9.0,1.6295908621720976,silverman,0.6250314574227263,0.03591213821822643,50.0,tka,4.0
234,tstudent,3.0,1.0,1.6295908621720976,silverman,0.6571673916951294,0.43853718220363175,50.0,ctka,4.0
235,tstudent,3.0,2.0,1.6295908621720976,silverman,0.7246624808110053,0.23457118426554624,50.0,ctka,4.0
236,tstudent,3.0,3.0,1.6295908621720976,silverman,0.6853070782688124,0.15679309089852875,50.0,ctka,4.0
237,tstudent,3.0,4.0,1.6295908621720976,silverman,0.6660084053612324,0.11751538239341934,50.0,ctka,4.0
