,dataset,gamma_init,gamma_method,hsic_value,scale,scorer
2171,circ,4.066271886307033,median_p0.4,0.6409770285379668,0.2682695795279725,tka
2172,circ,3.3673157408287424,median_p0.4,0.6407345892269979,0.3906939937054613,tka
2173,circ,2.6321417017944544,median_p0.4,0.6370978981229594,0.5689866029018293,tka
2174,circ,1.9269065431382468,median_p0.4,0.6343649623035382,0.8286427728546842,tka
2175,circ,1.315488522040647,median_p0.4,0.6343388994183753,1.2067926406393288,tka
2176,circ,0.8378381711053611,median_p0.4,0.6376948974219927,1.7575106248547894,tka
2177,circ,0.5002989657984517,median_p0.4,0.6430189127547452,2.559547922699533,tka
2178,circ,0.2824200294508132,median_p0.4,0.6450379901066297,3.727593720314938,tka
2179,circ,0.15221206211544716,median_p0.4,0.6411890079579814,5.428675439323859,tka
2180,circ,0.07910012802666914,median_p0.4,0.6342798843327305,7.9060432109076855,tka
2181,circ,0.03998543328880013,median_p0.4,0.6274671898089825,11.513953993264458,tka
2182,circ,0.019804938526436264,median_p0.4,0.6220138138064019,16.768329368110066,tka
2183,circ,0.009666076084190916,median_p0.4,0.6180084700004519,24.420530945486497,tka
2184,circ,0.004668491678402534,median_p0.4,0.6151720568881415,35.564803062231285,tka
2185,circ,0.002238204990825773,median_p0.4,0.6131949048903996,51.79474679231202,tka
2186,circ,0.0010675431325466952,median_p0.4,0.6118265008952217,75.43120063354607,tka
2187,circ,0.0005073597696046776,median_p0.4,0.6108826630504285,109.85411419875572,tka
2188,circ,0.00024053044908949197,median_p0.4,0.6102328256360046,159.98587196060572,tka
2189,circ,0.00011383627189387196,median_p0.4,0.6097858568755826,232.99518105153672,tka
2190,circ,5.381195724240119e-05,median_p0.4,0.6094786080383481,339.3221771895323,tka
2191,circ,2.5416987304136912e-05,median_p0.4,0.6092674822263522,494.1713361323828,tka
2192,circ,1.1998490979390026e-05,median_p0.4,0.6091224421645256,719.6856730011514,tka
2193,circ,5.6619014647787606e-06,median_p0.4,0.609022817737207,1048.1131341546852,tka
2194,circ,2.6710578661743892e-06,median_p0.4,0.6089543954220535,1526.4179671752302,tka
2195,circ,1.2598692872038043e-06,median_p0.4,0.6089074061483645,2222.996482526191,tka
2196,circ,5.941738750090843e-07,median_p0.4,0.6088751376537412,3237.45754281764,tka
